play_id,play_type_id,game_id,yards_gained,down,qtr,TimeSecs,ydstogo,posteam_id
4,2,2009091000,0,3,1,3515,8,27
5,4,2009091000,0,4,1,3507,8,27
6,3,2009091000,0,1,1,3496,10,33
7,2,2009091000,4,2,1,3460,10,33
8,3,2009091000,-2,3,1,3431,6,33
9,4,2009091000,11,4,1,3394,8,33
10,2,2009091000,3,1,1,3384,10,27
11,2,2009091000,10,2,1,3348,7,27
12,3,2009091000,-1,1,1,3321,10,27
13,2,2009091000,9,2,1,3283,11,27
14,5,2009091000,-19,3,1,3241,2,27
15,4,2009091000,0,4,1,3205,21,27
16,3,2009091000,32,1,1,3200,10,33
17,2,2009091000,20,1,1,3177,10,33
18,3,2009091000,3,1,1,3144,10,33
19,2,2009091000,0,2,1,3117,7,33
20,2,2009091000,0,3,1,3112,7,33
21,6,2009091000,0,4,1,3108,7,33
22,3,2009091000,1,1,1,3104,10,27
23,3,2009091000,2,2,1,3069,9,27
24,5,2009091000,-9,3,1,3027,7,27
25,4,2009091000,0,4,1,3002,16,27
26,2,2009091000,10,1,1,2989,10,33
27,7,2009091000,24,1,1,2967,10,33
28,2,2009091000,9,1,1,2947,15,33
29,3,2009091000,3,2,1,2925,6,33
30,2,2009091000,8,3,1,2886,3,33
31,2,2009091000,5,1,1,2848,10,33
32,2,2009091000,0,2,1,2811,5,33
33,3,2009091000,2,1,1,2798,10,27
34,3,2009091000,1,2,1,2757,8,27
35,2,2009091000,0,3,1,2712,7,27
36,3,2009091000,1,1,1,2706,10,33
38,2,2009091000,11,2,2,2700,9,33
39,3,2009091000,-2,1,2,2662,10,33
40,2,2009091000,0,2,2,2629,12,33
41,5,2009091000,-10,3,2,2624,12,33
42,4,2009091000,0,4,2,2593,22,33
43,2,2009091000,8,1,2,2584,10,27
44,3,2009091000,0,2,2,2543,2,27
45,2,2009091000,8,3,2,2499,2,27
46,2,2009091000,9,1,2,2459,10,27
47,3,2009091000,5,2,2,2419,1,27
48,7,2009091000,0,2,2,2394,6,27
49,2,2009091000,18,2,2,2383,16,27
50,3,2009091000,1,1,2,2339,10,27
51,3,2009091000,4,2,2,2298,9,27
52,2,2009091000,0,3,2,2252,5,27
53,4,2009091000,11,4,2,2245,5,27
54,2,2009091000,0,1,2,2234,10,33
55,3,2009091000,4,2,2,2227,10,33
56,2,2009091000,8,3,2,2191,6,33
57,3,2009091000,3,1,2,2154,10,33
58,7,2009091000,0,2,2,2119,7,33
59,2,2009091000,15,2,2,2111,7,33
60,2,2009091000,0,1,2,2086,10,33
61,3,2009091000,3,2,2,2080,10,33
62,2,2009091000,8,3,2,2041,7,33
63,2,2009091000,5,1,2,2017,10,33
64,3,2009091000,-1,2,2,1984,5,33
65,2,2009091000,0,3,2,1948,6,33
66,6,2009091000,0,4,2,1942,6,33
67,2,2009091000,0,1,2,1934,10,27
68,2,2009091000,12,2,2,1928,10,27
70,2,2009091000,4,1,2,1920,10,27
71,2,2009091000,29,2,2,1898,6,27
73,2,2009091000,34,1,2,1889,10,27
74,11,2009091000,0,0,2,1882,0,27
75,1,2009091000,19,0,2,1882,0,33
76,2,2009091000,0,1,2,1875,10,33
77,2,2009091000,57,2,2,1869,10,33
79,2,2009091000,14,1,2,1853,10,33
80,11,2009091000,0,0,2,1848,0,33
81,1,2009091000,19,0,2,1848,0,27
82,2,2009091000,5,1,2,1841,10,27
83,2,2009091000,14,2,2,1835,5,27
85,2,2009091000,12,1,2,1827,10,27
86,2,2009091000,0,1,2,1821,10,27
87,5,2009091000,-8,2,2,1816,10,27
89,7,2009091000,-13,3,2,1807,18,27
90,2,2009091000,0,3,2,1801,23,27
91,1,2009091000,21,0,3,1800,0,33
92,3,2009091000,7,1,3,1795,10,33
93,3,2009091000,17,2,3,1760,3,33
94,3,2009091000,5,1,3,1718,10,33
95,2,2009091000,8,2,3,1684,5,33
96,3,2009091000,0,1,3,1661,10,33
97,2,2009091000,1,2,3,1626,10,33
98,3,2009091000,8,1,3,1617,10,27
99,3,2009091000,1,2,3,1580,2,27
100,3,2009091000,0,3,3,1537,1,27
101,4,2009091000,0,4,3,1512,1,27
102,3,2009091000,1,1,3,1493,10,33
103,3,2009091000,0,2,3,1451,9,33
104,3,2009091000,-2,3,3,1426,9,33
105,4,2009091000,0,4,3,1389,11,33
106,2,2009091000,0,1,3,1381,10,27
107,3,2009091000,4,2,3,1378,10,27
108,2,2009091000,7,3,3,1335,6,27
109,3,2009091000,3,1,3,1309,10,27
110,3,2009091000,-3,2,3,1266,7,27
111,2,2009091000,0,3,3,1223,10,27
112,4,2009091000,0,4,3,1218,10,27
113,3,2009091000,6,1,3,1208,10,33
114,2,2009091000,-2,2,3,1169,4,33
115,2,2009091000,16,3,3,1128,6,33
116,3,2009091000,4,1,3,1092,10,33
117,2,2009091000,0,2,3,1056,6,33
118,7,2009091000,11,3,3,1050,6,33
119,2,2009091000,0,3,3,1021,11,33
120,4,2009091000,0,4,3,1016,11,33
121,3,2009091000,3,1,3,1003,10,27
122,3,2009091000,0,2,3,968,7,27
123,2,2009091000,5,3,3,925,7,27
125,4,2009091000,5,4,4,900,2,27
126,2,2009091000,15,1,4,891,10,33
127,3,2009091000,-1,1,4,868,10,33
128,2,2009091000,15,2,4,827,11,33
129,3,2009091000,2,1,4,790,10,33
130,2,2009091000,2,2,4,754,8,33
131,2,2009091000,3,3,4,708,6,33
132,6,2009091000,0,4,4,668,3,33
133,1,2009091000,34,0,4,663,0,27
134,2,2009091000,7,1,4,654,10,27
135,2,2009091000,5,2,4,617,3,27
136,2,2009091000,9,1,4,573,10,27
137,2,2009091000,3,2,4,541,1,27
138,7,2009091000,0,1,4,497,10,27
139,2,2009091000,10,1,4,497,5,27
140,3,2009091000,4,1,4,435,10,27
141,5,2009091000,-6,2,4,394,6,27
142,2,2009091000,15,3,4,356,12,27
143,2,2009091000,8,1,4,310,10,27
144,3,2009091000,1,2,4,268,2,27
145,3,2009091000,0,3,4,226,1,27
